Distance from start(meters),elevation(meters),accumulated ascent(meters),accumulated descent(meters)
150768.66,1041.01,2809.27,-2715.98
150943.41,1054.56,2821.94,-2715.98
151087.25,1074.98,2835.49,-2715.98
151248.42,1098.89,2855.91,-2715.98
151379.09,1106.85,2879.82,-2715.98
151604.01,1047.61,2887.78,-2715.98
151789.76,969.8,2887.78,-2775.22
152053.15,894.65,2887.78,-2853.03
152188.16,865.26,2887.78,-2928.18
152315.37,858.29,2887.78,-2957.57
152448.26,850.71,2887.78,-2964.54
152529.66,840.23,2887.78,-2972.12
152721.3,882.85,2887.78,-2982.6
152845.26,923,2930.4,-2982.6
152910.41,946.29,2970.55,-2982.6
152970.94,956.85,2993.84,-2982.6
153094.82,981.97,3004.4,-2982.6
153161.88,980.96,3029.52,-2982.6
153254.93,982.45,3029.52,-2983.61
153340.53,984.15,3031.01,-2983.61
153398.62,987.11,3032.71,-2983.61
153505.08,989.28,3035.67,-2983.61
153614.37,987.16,3037.84,-2983.61
153713.36,984.55,3037.84,-2985.73
153834.13,981.57,3037.84,-2988.34
154228.19,1044.36,3037.84,-2991.32
154338.75,1071.14,3100.63,-2991.32
154442.85,1119.49,3127.41,-2991.32
154519.27,1139.01,3175.76,-2991.32
154565.4,1159.86,3195.28,-2991.32
154617.74,1149.17,3216.13,-2991.32
154651.86,1159.64,3216.13,-3002.01
154689.5,1173.1,3226.6,-3002.01
154767.91,1193,3240.06,-3002.01
154872.95,1207.87,3259.96,-3002.01
154925.38,1194.68,3274.83,-3002.01
155000.75,1174.08,3274.83,-3015.2
155144.7,1141.37,3274.83,-3035.8
155233.86,1113.26,3274.83,-3068.51
155380.7,1061.55,3274.83,-3096.62
155459.77,1036.37,3274.83,-3148.33
155537.31,1027.1,3274.83,-3173.51
155658.3,1031.79,3274.83,-3182.78
155716.45,1010.12,3279.52,-3182.78
155780.6,992.84,3279.52,-3204.45
155959.77,950.03,3279.52,-3221.73
156073.05,922.64,3279.52,-3264.54
156156.75,906.64,3279.52,-3291.93
156411.35,872.49,3279.52,-3307.93
156495.91,852.98,3279.52,-3342.08
156614.36,829.47,3279.52,-3361.59
157200.87,811.03,3279.52,-3385.1
157346.9,786.16,3279.52,-3403.54
157471.18,775.75,3279.52,-3428.41
157582.92,768.75,3279.52,-3438.82
157717.68,761.5,3279.52,-3445.82
157926.35,743.53,3279.52,-3453.07
158061.09,726.89,3279.52,-3471.04
158310.34,729.04,3279.52,-3487.68
158434.88,696.93,3281.67,-3487.68
158623.77,676.01,3281.67,-3519.79
158754.25,646.44,3281.67,-3540.71
158933.71,630.64,3281.67,-3570.28
158993.65,615.61,3281.67,-3586.08
159042.79,603.93,3281.67,-3601.11
159165.34,596.16,3281.67,-3612.79
159259.81,597.74,3281.67,-3620.56
159381.81,589.54,3283.25,-3620.56
159474.4,578.15,3283.25,-3628.76
159591.49,568.26,3283.25,-3640.15
159867.48,536.45,3283.25,-3650.04
159936.46,526.68,3283.25,-3681.85
160108.83,504.17,3283.25,-3691.62
160274.46,470.46,3283.25,-3714.13
